alaika,pala,asmenot,asmela,elkot,kumu,supu,rkyks,rkkot,raja,ahtas,filter_$
25,105,6420,28420,2,1,1,2.19999980929995,66000,0,2,1
66,80,4800,4800,-9999,1,1,1.69999980929995,52000,0,3,1
71,160,6996,11996,2,0,2,2.89999961849997,83500,0,3,1
17,100,7860,13460,2,0,2,2.69999980929995,128500,0,2,1
36,98,2940,5240,2,0,1,2.39999961849997,95500,0,2,1
7,51,7536,7536,1,1,1,1.69999980929995,54000,0,2,1
3,98,4560,44560,1,0,1,2.19999980929995,148000,0,2,1
19,120,5400,5400,1,0,1,3.09999942779998,164500,0,2,1
34,100,2400,2400,-9999,0,2,2.39999961849997,97000,0,2,1
20,90,1800,1800,3,0,1,2.89999961849997,80000,0,2,1
20,107,14364,14364,2,0,1,3.19999980929995,73000,1,2,1
7,110,4716,37716,1,1,1,3.19999980929995,136500,0,2,1
6,158,12420,26420,1,1,1,2.39999961849997,160000,0,3,1
3,18,5988,5988,2,0,1,1,14500,1,1,1
17,80,5436,5436,2,1,2,2.69999980929995,113500,0,2,1
18,126,6000,6000,3,1,1,2.89999961849997,139000,0,2,1
47,106,2940,7840,2,1,1,3.39999961849997,101500,0,2,1
6,100,2364,23364,1,1,1,2.19999980929995,77500,0,2,1
10,100,7800,14800,2,1,2,2.89999961849997,117000,0,2,1
8,105,5580,5580,2,1,2,2.39999961849997,119500,0,2,1
17,64,18300,18300,2,1,1,2.19999980929995,109500,0,2,1
15,80,2376,2376,2,1,1,3.89999961849997,93500,0,1,1
10,83,19800,19800,1,0,1,2.89999961849997,173500,0,2,1
25,200,7200,7200,1,0,1,1.69999980929995,198500,0,3,1
6,84,9360,9360,1,0,1,2.69999980929995,103500,0,2,1
9,200,9600,25600,1,0,2,2.89999961849997,197500,0,3,1
4,129,9000,19000,2,0,2,2.69999980929995,186000,0,2,1
6,26,3000,15000,2,0,2,1,62500,0,2,1
6,98,8400,8400,2,0,2,2.89999961849997,139000,0,2,1
0,45,12000,12000,1,0,1,1.69999980929995,75500,0,2,1
3,60,5160,21160,2,0,1,2.19999980929995,128000,0,2,1
8,150,6000,26000,2,0,1,2.19999980929995,179500,0,2,1
14,150,4680,64680,2,0,2,3.39999961849997,151000,0,2,1
18,71,9600,9600,1,0,2,1.69999980929995,84000,0,2,1
2,57,9600,19600,-9999,0,2,1,47500,0,2,1
8,110,15120,35120,1,0,1,3.19999980929995,185500,0,2,1
0,60,4212,21012,1,0,1,1.69999980929995,94000,0,2,1
13,54,12708,12708,1,0,2,1.69999980929995,108500,0,2,1
15,82,10200,19000,1,0,1,2.19999980929995,144000,0,2,1
0,71,17400,53400,2,0,2,1.69999980929995,124000,0,2,1
1,79,6000,42000,1,0,2,2.39999961849997,101500,0,2,1
0,46,11880,11880,-9999,1,2,1,58000,0,2,1
50,150,4200,4200,1,0,2,1.69999980929995,45500,0,2,1
8,91,12000,12000,1,0,2,1.69999980929995,148000,0,3,1
30,90,9264,9517,1,0,2,1.69999980929995,86000,0,3,1
2,75,1800,41800,2,0,1,1.69999980929995,169000,0,2,1
0,60,12600,12600,2,0,1,1.69999980929995,115500,0,2,1
5,91,17976,44476,2,0,2,2.69999980929995,108000,0,2,1
4,250,15000,15000,2,0,2,2.69999980929995,107000,0,3,1
65,104,4020,4020,3,1,2,1.69999980929995,60500,0,3,1
42,220,5940,5940,1,1,1,1.69999980929995,108500,0,3,1
15,40,2280,9480,2,0,2,2.19999980929995,91000,0,1,1
26,126,4368,4368,1,0,2,3.59999942779998,102500,0,2,1
11,124,5400,5400,1,0,1,2.19999980929995,110500,0,2,1
2,71,6960,6960,2,0,2,1,40500,0,3,1
11,110,7344,7344,1,0,2,3.19999980929995,131000,0,2,1
30,53,13176,13176,2,1,1,1.69999980929995,78000,0,2,1
39,30,4800,4800,2,1,1,2.39999961849997,106000,0,1,1
4,83,11700,31700,2,1,1,2.69999980929995,106500,0,2,1
1,150,21240,61240,2,0,1,2.19999980929995,127000,0,3,1
46,185,9948,9948,2,1,1,3.39999961849997,106000,0,3,1
10,57,5916,5916,2,1,1,1.69999980929995,46500,0,2,1
3,120,7440,28440,2,0,2,2.69999980929995,184500,0,2,1
41,123,4800,4800,1,0,1,2.19999980929995,121500,0,3,1
17,75,7320,7320,2,0,1,2.39999961849997,117500,0,2,1
9,102,13200,15200,2,0,2,3.09999942779998,154500,0,2,1
10,71,5844,5844,2,0,1,2.39999961849997,102000,0,2,1
15,51,7332,7332,2,1,1,1,42500,0,2,1
3,110,4800,24800,2,1,1,2.89999961849997,145500,0,2,1
6,58,4320,54320,2,1,1,1.69999980929995,128500,0,2,1
9,81,6948,6948,1,1,2,1.69999980929995,41000,0,2,1
35,52,2880,2880,2,1,2,1.69999980929995,105500,0,2,1
14,180,6600,12100,2,1,1,2.39999961849997,136500,0,2,1
52,60,1740,1740,2,1,1,1.69999980929995,63500,0,2,1
10,240,10800,30800,2,1,1,2.39999961849997,228500,0,3,1
6,56,4800,4800,1,0,2,1.69999980929995,30500,1,2,1
2,60,16800,16800,2,0,1,2.69999980929995,87500,0,1,1
5,84,6000,36000,2,0,1,2.19999980929995,86000,0,2,1
0,110,6240,48240,1,1,2,1.69999980929995,102500,0,3,1
2,86,2604,30604,2,1,1,2.19999980929995,98000,0,2,1
23,110,1020,1020,1,1,2,4.09999942779998,100500,0,2,1
3,39,6000,18500,-9999,0,2,1.69999980929995,87500,0,2,1
1,50,9024,9024,1,0,1,2.19999980929995,66000,0,1,1
22,100,18000,18000,2,0,2,1.69999980929995,83500,0,3,1
15,67,6120,6120,2,0,2,1.69999980929995,104000,0,2,1
3,50,12000,12000,1,0,1,1.69999980929995,80500,0,2,1
0,26,4200,28200,1,0,1,1,59500,0,2,1
7,100,8880,8880,2,0,2,1.69999980929995,197500,0,2,1
4,129,7320,7320,1,0,2,2.39999961849997,143500,0,2,1
0,93,10800,40800,1,0,2,1.69999980929995,35500,1,2,1
0,190,3840,28840,2,1,2,1,29000,0,3,1
7,67,6720,38720,3,0,1,1.69999980929995,199500,0,2,1
15,65,7200,7200,3,0,2,2.89999961849997,138500,0,2,1
1,64,12000,12000,2,0,2,1,46000,0,2,1
16,128,19908,35572,1,0,2,1.69999980929995,198500,0,3,1
11,80,11652,11652,1,0,1,2.69999980929995,146000,0,1,1
8,14,8208,8208,3,0,1,1,35500,0,1,1
5,30,12000,12000,1,0,1,1,81500,0,1,1
17,85,12000,27000,1,0,2,2.69999980929995,191000,0,2,1
1,23,15600,15600,2,0,2,1,44500,0,2,1
0,15,1248,10298,3,0,2,1,48500,0,1,1
1,33,4800,4800,1,0,1,1,36000,0,2,1
24,87,10620,10620,2,0,2,2.39999961849997,120000,0,2,1
2,35,6600,6600,3,0,1,1,73000,0,2,1
18,24,7200,7200,3,0,2,1,66500,0,2,1
3,78,24000,24000,2,0,2,2.69999980929995,124000,0,2,1
0,25,13200,13200,3,0,2,1,56000,0,2,1
17,72,6588,6588,1,0,1,1.69999980929995,137500,0,3,1
0,28,3600,31600,2,0,2,1,65500,0,2,1
1,40,9000,9000,2,0,2,1,17500,1,2,1
10,73,12000,12000,1,0,2,2.39999961849997,118000,0,2,1
25,51,10596,10596,2,0,2,1,33000,0,2,1
20,150,14400,36900,1,0,1,2.69999980929995,310000,0,3,1
2,35,4080,4080,2,0,2,1,48000,0,2,1
1,74,16944,16944,1,0,1,2.19999980929995,100500,0,2,1
0,56,3600,32100,2,0,1,1.5,25500,1,2,1
10,72,9072,39072,2,0,2,2.19999980929995,135500,0,2,1
0,44,4800,28800,2,0,2,1,83500,0,2,1
27,85,7200,7200,2,0,2,1,90000,0,3,1
13,74,11664,16864,1,0,1,2.19999980929995,135000,0,2,1
2,12,7392,7392,2,0,1,1,29500,0,1,1
4,59,16572,16572,3,0,2,2.19999980929995,117000,0,2,1
10,15,0,0,-9999,0,1,1,34500,0,1,1
20,85,9720,9720,3,0,1,1,120000,0,3,1
7,120,10500,47500,1,0,2,3.69999980929995,160500,0,2,1
5,81,6240,27240,2,0,2,1.69999980929995,140000,0,2,1
7,62,10680,19980,1,0,1,3.19999980929995,134500,0,1,1
25,34,7080,7080,2,0,2,1.69999980929995,98500,0,2,1
41,30,5316,5316,3,0,1,1,30500,0,2,1
40,52,12600,12600,1,0,2,1.69999980929995,46500,0,2,1
14,26,3360,3360,2,0,1,1.69999980929995,89500,0,1,1
4,77,6840,66840,1,0,1,1.69999980929995,148500,0,2,1
10,50,11760,11760,2,0,2,1.69999980929995,167500,0,2,1
1,48,3456,3456,1,0,1,1.69999980929995,89500,0,2,1
18,15,1680,1680,1,0,1,1,33500,0,1,1
33,47,7800,7800,2,0,2,2,62000,0,2,1
1,47,7800,44800,2,0,1,1.69999980929995,131500,0,2,1
7,58,5760,34760,1,0,2,1,85500,0,2,1
17,69,14400,14400,1,0,2,2.39999961849997,117500,0,2,1
11,78,14400,14400,1,0,2,2.19999980929995,101000,0,2,1
12,54,7200,7200,2,0,1,2.89999961849997,142500,0,1,1
0,78,8904,48904,2,0,2,1.69999980929995,119000,0,2,1
20,75,9600,9600,1,0,2,1.69999980929995,137500,0,3,1
24,120,12000,12000,2,0,2,1.5,80500,0,3,1
5,51,10932,10932,1,0,2,1,64000,0,2,1
4,62,12240,12240,2,0,1,2.69999980929995,48000,1,1,1
49,90,6000,6000,1,0,1,1.69999980929995,55500,0,3,1
0,26,8664,8664,2,0,2,1.69999980929995,96000,0,1,1
0,74,6072,6072,1,0,1,1,47500,0,3,1
24,60,18600,18600,2,0,1,1.69999980929995,105500,0,2,1
15,60,6996,6996,2,0,2,3.09999942779998,137500,0,1,1
5,61,6600,6600,1,0,1,1.69999980929995,89000,0,2,1
14,80,15600,15600,2,0,1,2.69999980929995,112500,0,2,1
2,52,13368,13368,3,0,1,1.69999980929995,88500,0,2,1
6,29,12000,12000,2,0,2,1,54000,0,2,1
6,58,12852,12852,2,0,1,2.69999980929995,113000,0,1,1
7,63,13500,13500,3,0,2,1.5,44500,0,2,1
5,83,7056,12823,2,0,1,2.69999980929995,152000,0,2,1
17,92,8400,8400,1,0,1,2.89999961849997,165000,0,2,1
6,93,21240,21240,1,0,1,3.19999980929995,142000,0,2,1
0,90,20160,49660,2,0,1,2.69999980929995,123500,0,2,1
1,60,15396,15396,2,0,1,1.69999980929995,63000,0,2,1
8,70,6720,6720,2,0,2,1.69999980929995,144000,0,2,1
8,87,6228,6228,3,0,1,1.69999980929995,209000,0,2,1
0,34,15000,15000,1,0,2,1.69999980929995,56000,0,1,1
20,88,6936,15088,1,0,1,2.19999980929995,112500,0,2,1
7,63,7752,10502,2,0,2,1.69999980929995,78000,0,2,1
11,28,5928,5928,1,0,2,1,25500,0,1,1
3,72,7200,37200,2,0,1,2.19999980929995,165500,0,2,1
22,54,9444,9444,1,0,2,1,42500,0,2,1
13,66,5580,5580,2,0,2,1,37000,0,3,1
24,120,16800,16800,2,0,2,2.39999961849997,85000,0,3,1
14,186,19800,19800,1,0,2,2.19999980929995,221500,0,3,1
0,80,7800,45800,1,0,2,3.19999980929995,182000,0,2,1
16,120,8892,8892,1,0,2,1.69999980929995,140000,0,3,1
3,120,9000,93000,1,0,2,2.69999980929995,151000,0,2,1
6,56,8400,11100,2,0,1,2.69999980929995,141500,0,1,1
2,41,5244,25744,2,0,2,1,79000,0,2,1
4,80,9600,29600,2,0,1,1,73500,0,3,1
8,86,9696,9696,1,0,2,3.09999942779998,176500,0,2,1
6,62,6240,23240,2,0,2,2.69999980929995,166000,0,1,1
6,54,13440,13440,1,0,2,1.69999980929995,122500,0,2,1
16,56,6168,6168,2,0,1,2.39999961849997,116500,0,2,1
3,58,15720,15720,1,0,1,2.69999980929995,90500,0,1,1
21,61,14400,14400,1,0,2,2.39999961849997,108500,0,2,1
5,77,8940,8940,1,0,2,1,22000,1,3,1
1,50,6240,6240,1,0,2,1.69999980929995,108000,0,2,1
15,50,7200,7200,-9999,0,1,2.69999980929995,91000,0,1,1
16,83,7680,7680,1,0,1,2.19999980929995,136500,0,2,1
2,90,6000,6000,2,0,2,2.39999961849997,120000,0,2,1
19,70,7224,11024,1,0,1,1.69999980929995,35000,1,2,1
9,74,6600,10660,3,0,2,2.69999980929995,119000,0,2,1
4,105,4500,7700,2,0,1,2.69999980929995,143500,0,2,1
5,180,13800,43200,2,0,2,2.89999961849997,310000,0,3,1
4,60,13200,13200,1,0,1,2.19999980929995,133000,0,2,1
4,78,6084,34084,2,0,2,1,79000,0,3,1
6,87,8868,23868,2,0,2,2.69999980929995,142000,0,2,1
15,51,5400,5400,1,0,1,2.89999961849997,130000,0,1,1
2,35,2100,17600,2,0,1,1,53000,0,2,1
7,55,6360,16360,1,0,1,1,73000,0,2,1
12,75,18360,18360,3,0,2,3.19999980929995,100000,0,1,1
12,60,12600,12600,2,0,2,1.5,54000,0,2,1
10,60,14400,14400,2,0,2,2.69999980929995,195000,0,1,1
6,75,17760,17760,1,0,2,2.69999980929995,116500,0,2,1
9,120,6636,19636,1,0,1,2.89999961849997,118000,0,2,1
2,63,6000,33000,2,0,1,1.69999980929995,129500,0,2,1
13,82,2400,2400,2,0,2,3.69999980929995,212000,0,1,1
15,80,13200,69200,2,0,1,3.19999980929995,131000,0,1,1
5,81,10800,14400,1,0,1,2.69999980929995,65000,0,2,1
5,33,6408,7908,1,0,1,1.69999980929995,128000,0,2,1
0,50,7716,29716,2,0,2,1.69999980929995,132500,0,2,1
2,59,6000,38000,1,0,1,2.19999980929995,84500,0,2,1
1,94,22800,22800,1,0,1,2.69999980929995,121000,0,2,1
60,220,12000,12000,1,0,1,1.69999980929995,166000,0,3,1
0,60,18000,18000,2,1,2,1.69999980929995,127500,0,2,1
15,91,10200,10200,2,0,1,2.19999980929995,140500,0,2,1
0,51,6000,11000,2,0,2,1.69999980929995,118000,0,2,1
69,34,1020,1020,2,0,1,1,37500,0,2,1
11,33,3576,3576,-9999,1,2,1,22000,1,2,1
16,152,4020,27620,1,1,2,4.29999923709998,184000,0,2,1
17,25,4176,16176,1,0,1,1.69999980929995,35000,1,2,1
0,55,12000,12000,2,1,1,1,37000,0,2,1
5,34,2856,2856,2,0,1,1,37000,0,2,1
5,96,16680,25680,2,0,2,2.69999980929995,110000,0,2,1
5,63,11400,11400,1,0,2,1.69999980929995,114000,0,2,1
4,82,14400,14400,-9999,0,1,2.89999961849997,171500,0,2,1
5,46,9600,9600,1,0,1,2.19999980929995,113500,0,2,1
3,101,11640,41640,2,0,1,2.69999980929995,167000,0,2,1
30,50,6000,7344,1,0,2,1,42000,0,2,1
4,150,7536,35536,1,0,2,1.69999980929995,203000,0,3,1
3,77,16200,16200,2,0,1,2.69999980929995,124000,0,2,1
4,83,5040,38040,1,0,2,2.19999980929995,79000,0,2,1
3,200,6264,26264,1,0,2,2.89999961849997,151500,0,3,1
33,120,1560,1560,2,1,2,1.69999980929995,91000,0,2,1
16,70,7200,7200,1,0,2,2.69999980929995,102000,0,2,1
41,150,2208,2208,2,1,2,1.69999980929995,58500,0,3,1
1,94,5100,5100,1,0,2,1.69999980929995,71000,0,2,1
18,125,2196,2196,1,0,2,4.39999961849998,126000,0,1,1
19,80,9120,9120,2,1,2,3.09999942779998,76500,0,2,1
41,112,6852,6852,1,1,2,1,29000,0,3,1
24,100,3792,3792,1,1,2,2.39999961849997,125500,0,3,1
2,93,2892,2892,2,1,2,3,134500,0,1,1
13,68,7200,7200,2,0,1,1.69999980929995,64000,0,2,1
36,90,4020,4020,2,0,2,1.69999980929995,88000,0,2,1
0,152,7260,34260,2,0,1,2.69999980929995,127500,0,2,1
23,75,5664,35664,2,0,2,1.69999980929995,100000,0,2,1
13,50,10200,10200,1,0,2,1.69999980929995,48500,0,2,1
12,57,9000,9000,1,0,2,2.19999980929995,90000,0,2,1
6,73,16560,16560,1,0,2,2.69999980929995,75500,0,2,1
10,30,3456,13056,2,0,2,1.69999980929995,91000,0,1,1
49,119,10044,10044,1,1,1,3.09999942779998,101000,0,2,1
29,100,4296,14796,2,1,2,2.39999961849997,116000,0,2,1
0,89,9480,29480,3,0,2,2,33500,1,2,1
58,120,3192,3192,2,1,2,2.19999980929995,75000,0,2,1
14,106,6600,61600,3,1,1,1.5,98500,0,3,1
15,80,4872,5492,1,1,2,1,42500,0,3,1
7,86,9504,27504,1,1,2,1.69999980929995,103500,0,2,1
15,53,11400,11400,2,0,1,2.39999961849997,105500,0,2,1
2,78,6264,6264,1,0,1,1.69999980929995,169000,0,2,1
2,52,8760,8760,2,0,1,1.69999980929995,73500,0,2,1
1,62,14040,14040,1,0,1,2.19999980929995,85500,0,2,1
0,64,5892,33892,3,0,1,1,80000,0,2,1
6,75,10800,26870,2,0,2,2.69999980929995,132000,0,2,1
10,50,4920,4920,2,0,2,1,34500,0,2,1
18,60,13080,13080,1,0,1,1.69999980929995,59500,0,2,1
8,74,5520,6960,1,0,2,2.19999980929995,107000,0,2,1
1,175,8052,58052,1,0,1,2.69999980929995,130500,0,3,1
42,80,3600,3600,2,1,2,1.69999980929995,43500,0,3,1
0,69,19200,19200,2,1,2,1.69999980929995,38000,0,2,1
4,76,5400,33400,1,1,1,2.19999980929995,140000,0,2,1
5,48,12000,12000,2,1,1,2.19999980929995,96500,0,2,1
0,120,0,0,1,0,2,2.19999980929995,128500,0,3,1
15,110,9228,9228,1,1,2,2.69999980929995,121500,0,2,1
25,120,5172,7372,1,1,1,3.09999942779998,128500,0,3,1
1,80,1200,1200,1,1,2,1.69999980929995,64000,0,2,1
22,89,4356,13856,1,1,1,3.39999961849997,130500,0,2,1
12,40,3804,3804,3,1,2,2.39999961849997,118000,0,1,1
38,160,6600,6600,2,1,1,1.69999980929995,145000,0,3,1
10,78,10080,64080,1,1,1,1.69999980929995,91000,0,2,1
3,40,5400,5400,2,0,1,1,42500,0,2,1
12,63,4560,4560,2,0,1,1.69999980929995,127500,0,2,1
0,237,22200,29200,2,1,1,2.89999961849997,152500,0,3,1
0,33,7800,7800,1,0,2,1,37000,0,2,1
14,65,11136,11136,2,0,2,1,46000,0,2,1
17,120,9540,22831,1,0,1,2.89999961849997,186500,0,2,1
3,78,16272,16272,2,0,1,3.89999961849997,129000,0,1,1
1,65,6492,42492,2,0,2,2.19999980929995,99000,0,2,1
2,63,10920,40920,1,0,1,2.19999980929995,105500,0,2,1
0,77,7800,46200,2,0,2,2.69999980929995,101000,0,2,1
13,70,6000,52800,1,0,1,1.69999980929995,129000,0,2,1
0,84,15840,15840,2,1,2,1.5,42000,0,2,1
21,20,4800,4800,3,0,1,1,20000,1,1,1
29,80,19200,19200,2,0,1,2.69999980929995,70000,0,2,1
11,67,7800,18500,2,0,2,2,42000,1,2,1
8,31,7200,7200,1,0,2,1,35000,0,2,1
2,87,5040,41040,1,1,1,3.59999942779998,107000,0,1,1
33,37,6840,6840,3,1,2,1,25000,0,2,1
1,102,5280,37280,2,1,1,2.19999980929995,112000,0,2,1
10,115,5700,21700,2,1,2,3.69999980929995,148000,0,1,1
0,41,6000,6000,2,0,1,1,74000,0,2,1
0,82,5664,13664,2,1,1,2.19999980929995,92000,0,2,1
37,102,2244,2657,1,1,2,3.09999942779998,130500,0,2,1
12,80,9360,9360,2,0,1,2.69999980929995,174000,0,2,1
13,77,8400,8400,2,0,2,2.89999961849997,139500,0,2,1
12,194,9720,14520,2,0,2,3.89999961849997,140500,0,2,1
5,70,6360,21360,2,0,1,2.19999980929995,109000,0,2,1
20,85,5760,5760,2,0,1,1.69999980929995,89500,0,3,1
13,61,5124,5124,2,0,2,1.69999980929995,56500,0,2,1
3,51,3000,3000,3,0,1,1.69999980929995,106000,0,2,1
2,31,3600,8100,1,0,1,1,62000,0,2,1
4,37,3012,4772,2,0,2,1.69999980929995,74500,0,1,1
31,107,6600,31600,2,0,1,2.19999980929995,120000,0,2,1
2,50,3600,3600,2,0,1,1.69999980929995,65500,0,2,1
5,74,16440,16440,2,0,1,3.19999980929995,109500,0,1,1
14,62,12000,12000,2,0,1,2.39999961849997,118500,0,2,1
6,24,5400,5400,2,0,2,1,28000,0,2,1
3,41,7440,7440,2,0,1,1.69999980929995,59500,0,2,1
5,93,18000,18000,2,0,2,3.19999980929995,109000,0,2,1
2,79,5712,25712,1,0,1,2.19999980929995,129000,0,2,1
8,96,8400,8400,1,0,1,2.19999980929995,138500,0,2,1
6,50,11160,11160,1,1,1,1.69999980929995,110500,0,2,1
2,55,1320,28920,2,1,2,2.69999980929995,131500,0,1,1
0,50,4140,4140,2,1,1,1,54500,0,2,1
32,55,5244,5244,2,1,2,2.39999961849997,112500,0,2,1
11,200,5100,5100,1,1,2,1.69999980929995,93000,0,3,1
0,75,19200,19200,3,0,2,1.5,87000,0,2,1
31,140,9240,9240,1,1,1,2.39999961849997,147500,0,3,1
2,77,0,0,2,1,1,1.69999980929995,53000,0,2,1
2,50,6000,6000,2,0,1,1,9500,1,3,1
0,61,13200,13200,3,0,1,1.69999980929995,29000,1,2,1
22,75,4356,4356,2,0,1,2.69999980929995,69000,0,1,1
48,80,1248,1248,1,0,1,1.69999980929995,89500,0,2,1
56,55,2088,2088,3,0,2,1,21500,1,2,1
65,80,4200,4200,2,0,2,1.69999980929995,65000,0,2,1
